CUSTOMERKEY,GEOGRAPHYKEY,CUSTOMERALTERNATEKEY,TITLE,FIRSTNAME,MIDDLENAME,LASTNAME,NAMESTYLE,BIRTHDATE,MARITALSTATUS,SUFFIX,GENDER,EMAILADDRESS,YEARLYINCOME,TOTALCHILDREN,NUMBERCHILDRENATHOME,ENGLISHEDUCATION,SPANISHEDUCATION,FRENCHEDUCATION,ENGLISHOCCUPATION,SPANISHOCCUPATION,FRENCHOCCUPATION,HOUSEOWNERFLAG,NUMBERCARSOWNED,ADDRESSLINE1,ADDRESSLINE2,PHONE,DATEFIRSTPURCHASE,COMMUTEDISTANCE,NUMBEROFPURCHASES
11000,26,AW00011000,,Jon,V,Yang,FALSE,1971-10-06,M,,M,jon24@adventure-works.com,90000,2,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,0,3761 N. 14th St,,1 (11) 500 555-0162,2011-01-19,1-2 Miles,3
11001,37,AW00011001,,Eugene,L,Huang,FALSE,1976-05-10,S,,M,eugene10@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,2243 W St.,,1 (11) 500 555-0110,2011-01-15,0-1 Miles,3
11002,31,AW00011002,,Ruben,,Torres,FALSE,1971-02-09,M,,M,ruben35@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,5844 Linden Land,,1 (11) 500 555-0184,2011-01-07,2-5 Miles,3
11003,11,AW00011003,,Christy,,Zhu,FALSE,1973-08-14,S,,F,christy12@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,1825 Village Pl.,,1 (11) 500 555-0162,2010-12-29,5-10 Miles,3
11004,19,AW00011004,,Elizabeth,,Johnson,FALSE,1979-08-05,S,,F,elizabeth5@adventure-works.com,80000,5,5,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,7553 Harness Circle,,1 (11) 500 555-0131,2011-01-23,1-2 Miles,3
11005,22,AW00011005,,Julio,,Ruiz,FALSE,1976-08-01,S,,M,julio1@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,7305 Humphrey Drive,,1 (11) 500 555-0151,2010-12-30,5-10 Miles,3
11006,8,AW00011006,,Janet,G,Alvarez,FALSE,1976-12-02,S,,F,janet9@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,1,2612 Berry Dr,,1 (11) 500 555-0184,2011-01-24,5-10 Miles,3
11007,40,AW00011007,,Marco,,Mehta,FALSE,1969-11-06,M,,M,marco14@adventure-works.com,60000,3,3,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,2,942 Brook Street,,1 (11) 500 555-0126,2011-01-09,0-1 Miles,3
11008,32,AW00011008,,Rob,,Verhoff,FALSE,1975-07-04,S,,F,rob4@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,3,624 Peabody Road,,1 (11) 500 555-0164,2011-01-25,10+ Miles,3
11009,25,AW00011009,,Shannon,C,Carlson,FALSE,1969-09-29,S,,M,shannon38@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,3839 Northgate Road,,1 (11) 500 555-0110,2011-01-27,5-10 Miles,3
11010,22,AW00011010,,Jacquelyn,C,Suarez,FALSE,1969-08-05,S,,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,0,1,7800 Corrinne Court,,1 (11) 500 555-0169,2011-01-14,5-10 Miles,3
11011,22,AW00011011,,Curtis,,Lu,FALSE,1969-05-03,M,,M,curtis9@adventure-works.com,60000,4,4,Bachelors,Licenciatura,Bac + 4,Professional,Profesional,Cadre,1,4,1224 Shoenic,,1 (11) 500 555-0117,2010-12-30,10+ Miles,3
11012,611,AW00011012,,Lauren,M,Walker,FALSE,1979-01-14,M,,F,lauren41@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,2,4785 Scott Street,,717-555-0164,2013-03-16,1-2 Miles,2
11013,543,AW00011013,,Ian,M,Jenkins,FALSE,1979-08-03,M,,M,ian47@adventure-works.com,100000,2,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,1,3,7902 Hudson Ave.,,817-555-0185,2013-04-13,0-1 Miles,2
11014,634,AW00011014,,Sydney,,Bennett,FALSE,1973-11-06,S,,F,sydney23@adventure-works.com,100000,3,0,Bachelors,Licenciatura,Bac + 4,Management,Gestión,Direction,0,3,9011 Tank Drive,,431-555-0156,2013-03-23,1-2 Miles,2
11017,39,AW00011017,,Shannon,,Wang,FALSE,1949-12-24,S,,F,shannon1@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,7330 Saddlehill Lane,,1 (11) 500 555-0195,2011-01-12,5-10 Miles,3
11018,32,AW00011018,,Clarence,D,Rai,FALSE,1955-10-06,S,,M,clarence32@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,244 Rivewview,,1 (11) 500 555-0137,2011-01-17,5-10 Miles,3
11019,52,AW00011019,,Luke,L,Lal,FALSE,1983-09-04,S,,M,luke18@adventure-works.com,40000,0,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,0,2,7832 Landing Dr,,262-555-0112,2013-02-12,5-10 Miles,17
11023,298,AW00011023,,Seth,M,Edwards,FALSE,1984-04-09,M,,M,seth46@adventure-works.com,40000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,1,4499 Valley Crest,,452-555-0188,2013-02-17,1-2 Miles,2
11024,311,AW00011024,,Russell,,Xie,FALSE,1984-03-16,M,,M,russell7@adventure-works.com,60000,0,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Skilled Manual,Obrero especializado,Technicien,1,2,8734 Oxford Place,,746-555-0186,2013-06-27,5-10 Miles,2
11025,24,AW00011025,,Alejandro,,Beck,FALSE,1951-06-22,M,,M,alejandro45@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178,2011-01-06,1-2 Miles,3
11026,4,AW00011026,,Harold,,Sai,FALSE,1951-10-01,S,,M,harold3@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,0,2,8211 Leeds Ct.,,1 (11) 500 555-0131,2011-01-23,1-2 Miles,3
11027,40,AW00011027,,Jessie,R,Zhao,FALSE,1952-06-05,M,,M,jessie16@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,213 Valencia Place,,1 (11) 500 555-0184,2011-01-16,5-10 Miles,3
11028,17,AW00011028,,Jill,,Jimenez,FALSE,1951-10-09,M,,F,jill13@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,2011-01-26,1-2 Miles,3
11029,32,AW00011029,,Jimmy,L,Moreno,FALSE,1952-06-19,M,,M,jimmy9@adventure-works.com,30000,2,0,Partial College,Estudios universitarios (en curso),Baccalauréat,Clerical,Administrativo,Employé,1,2,6385 Mark Twain,,1 (11) 500 555-0146,2011-01-19,1-2 Miles,3
11030,28,AW00011030,,Bethany,G,Yuan,FALSE,1958-02-18,M,,F,bethany10@adventure-works.com,10000,2,1,Partial High School,Educación secundaria (en curso),Niveau bac,Clerical,Administrativo,Employé,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,2011-02-05,1-2 Miles,3
11031,8,AW00011031,,Theresa,G,Ramos,FALSE,1953-02-18,M,,F,theresa13@adventure-works.com,20000,4,0,High School,Educación secundaria,Bac + 2,Skilled Manual,Obrero especializado,Technicien,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,2011-02-01,1-2 Miles,3
