FIRSTNAME,LASTNAME,CALENDARYEAR,CALENDARQUARTER,DATEKEY,TOTALSALES,SALESAMOUNTQUOTA,SALESMINUSQUOTA
Syed,Abbas,2013,2,20130630,3935,7000,-3065
Amy,Alberts,2012,3,20120928,969,110000,-109031
Amy,Alberts,2012,4,20121228,3713,184000,-180287
Amy,Alberts,2013,1,20130330,324,324000,-323676
Amy,Alberts,2013,2,20130630,324,116000,-115676
Pamela,Ansman-Wolfe,2010,4,20101229,24433,165000,-140567
Pamela,Ansman-Wolfe,2011,1,20110331,57739,469000,-411261
Pamela,Ansman-Wolfe,2011,3,20110701,41068,264000,-222932
Pamela,Ansman-Wolfe,2011,4,20111229,98761,210000,-111239
Pamela,Ansman-Wolfe,2012,1,20120330,82845,226000,-143155
Pamela,Ansman-Wolfe,2012,2,20120630,71601,190000,-118399
Pamela,Ansman-Wolfe,2012,3,20120928,49153,224000,-174847
Pamela,Ansman-Wolfe,2012,4,20121228,112337,319000,-206663
Pamela,Ansman-Wolfe,2013,1,20130330,112007,450000,-337993
Pamela,Ansman-Wolfe,2013,2,20130630,112333,343000,-230667
Pamela,Ansman-Wolfe,2013,3,20130929,154573,390000,-235427
Michael,Blythe,2010,4,20101229,63762,367000,-303238
Michael,Blythe,2011,1,20110331,107813,556000,-448187
Michael,Blythe,2011,3,20110701,124080,502000,-377920
Michael,Blythe,2011,4,20111229,419620,1429000,-1009380
Michael,Blythe,2012,1,20120330,319269,1324000,-1004731
Michael,Blythe,2012,2,20120630,229115,729000,-499885
Michael,Blythe,2012,3,20120928,314947,1194000,-879053
Michael,Blythe,2012,4,20121228,248298,1575000,-1326702
Michael,Blythe,2013,1,20130330,222186,1218000,-995814
Michael,Blythe,2013,2,20130630,161919,849000,-687081
Michael,Blythe,2013,3,20130929,196650,869000,-672350
David,Campbell,2010,4,20101229,69473,226000,-156527
David,Campbell,2011,1,20110331,106847,353000,-246153
David,Campbell,2011,3,20110701,93417,280000,-186583
David,Campbell,2011,4,20111229,199499,483000,-283501
David,Campbell,2012,1,20120330,156349,341000,-184651
David,Campbell,2012,2,20120630,111159,151000,-39841
David,Campbell,2012,3,20120928,155129,284000,-128871
David,Campbell,2012,4,20121228,172104,631000,-458896
David,Campbell,2013,1,20130330,117742,372000,-254258
David,Campbell,2013,2,20130630,100543,234000,-133457
David,Campbell,2013,3,20130929,128327,403000,-274673
Jillian,Carson,2010,4,20101229,46697,565000,-518303
Jillian,Carson,2011,1,20110331,93363,872000,-778637
Jillian,Carson,2011,3,20110701,64190,846000,-781810
Jillian,Carson,2011,4,20111229,399431,1600000,-1200569
Jillian,Carson,2012,1,20120330,333183,1352000,-1018817
Jillian,Carson,2012,2,20120630,272208,839000,-566792
Jillian,Carson,2012,3,20120928,400654,1369000,-968346
Jillian,Carson,2012,4,20121228,262117,1171000,-908883
Jillian,Carson,2013,1,20130330,242987,971000,-728013
Jillian,Carson,2013,2,20130630,165464,714000,-548536
Jillian,Carson,2013,3,20130929,214210,947000,-732790
Shu,Ito,2010,4,20101229,59707,460000,-400293
Shu,Ito,2011,1,20110331,98866,549000,-450134
Shu,Ito,2011,3,20110701,80095,473000,-392905
Shu,Ito,2011,4,20111229,168864,1034000,-865136
Shu,Ito,2012,1,20120330,95043,813000,-717957
Shu,Ito,2012,2,20120630,94975,470000,-375025
Shu,Ito,2012,3,20120928,87937,555000,-467063
Shu,Ito,2012,4,20121228,354334,935000,-580666
Shu,Ito,2013,1,20130330,305660,684000,-378340
Shu,Ito,2013,2,20130630,212462,614000,-401538
Shu,Ito,2013,3,20130929,266397,724000,-457603
Stephen,Jiang,2011,4,20111229,3576,70000,-66424
Stephen,Jiang,2012,1,20120330,56210,154000,-97790
Stephen,Jiang,2012,3,20120928,43257,58000,-14743
Stephen,Jiang,2013,1,20130330,1946,116000,-114054
Stephen,Jiang,2013,2,20130630,70814,84000,-13186
Stephen,Jiang,2013,3,20130929,41325,187000,-145675
Tete,Mensa-Annan,2012,2,20120630,9913,281000,-271087
Tete,Mensa-Annan,2012,3,20120928,9481,304000,-294519
Tete,Mensa-Annan,2012,4,20121228,98551,516000,-417449
Tete,Mensa-Annan,2013,1,20130330,97919,380000,-282081
Tete,Mensa-Annan,2013,2,20130630,73743,454000,-380257
Tete,Mensa-Annan,2013,3,20130929,102923,497000,-394077
Linda,Mitchell,2010,4,20101229,5475,637000,-631525
Linda,Mitchell,2011,1,20110331,5957,781000,-775043
Linda,Mitchell,2011,3,20110701,5894,665000,-659106
Linda,Mitchell,2011,4,20111229,111344,1355000,-1243656
Linda,Mitchell,2012,1,20120330,98965,1009000,-910035
Linda,Mitchell,2012,2,20120630,73713,860000,-786287
Linda,Mitchell,2012,3,20120928,88378,1021000,-932622
Linda,Mitchell,2012,4,20121228,308199,1525000,-1216801
Linda,Mitchell,2013,1,20130330,208574,1276000,-1067426
Linda,Mitchell,2013,2,20130630,117695,894000,-776305
Linda,Mitchell,2013,3,20130929,230698,1124000,-893302
Jae,Pak,2011,4,20111229,631722,1898000,-1266278
Jae,Pak,2012,1,20120330,393563,1262000,-868437
Jae,Pak,2012,2,20120630,257634,938000,-680366
Jae,Pak,2012,3,20120928,430737,1279000,-848263
Jae,Pak,2012,4,20121228,484391,1506000,-1021609
Jae,Pak,2013,1,20130330,388957,1419000,-1030043
Jae,Pak,2013,2,20130630,219441,883000,-663559
Jae,Pak,2013,3,20130929,368887,1329000,-960113
Tsvi,Reiter,2010,4,20101229,104417,669000,-564583
Tsvi,Reiter,2011,1,20110331,139221,917000,-777779
Tsvi,Reiter,2011,3,20110701,140581,780000,-639419
Tsvi,Reiter,2011,4,20111229,176326,734000,-557674
Tsvi,Reiter,2012,1,20120330,144597,647000,-502403
Tsvi,Reiter,2012,2,20120630,123079,571000,-447921
Tsvi,Reiter,2012,3,20120928,172537,572000,-399463
Tsvi,Reiter,2012,4,20121228,170877,950000,-779123
Tsvi,Reiter,2013,1,20130330,153258,675000,-521742
Tsvi,Reiter,2013,2,20130630,113451,538000,-424549
Tsvi,Reiter,2013,3,20130929,110858,686000,-575142
José,Saraiva,2010,4,20101229,106251,525000,-418749
José,Saraiva,2011,1,20110331,199439,767000,-567561
José,Saraiva,2011,3,20110701,136058,583000,-446942
José,Saraiva,2011,4,20111229,80691,496000,-415309
José,Saraiva,2012,1,20120330,63332,452000,-388668
José,Saraiva,2012,2,20120630,36794,288000,-251206
José,Saraiva,2012,3,20120928,47114,247000,-199886
José,Saraiva,2012,4,20121228,152488,1051000,-898512
José,Saraiva,2013,1,20130330,116095,707000,-590905
José,Saraiva,2013,2,20130630,80578,569000,-488422
José,Saraiva,2013,3,20130929,110019,830000,-719981
Lynn,Tsoflias,2012,4,20121228,49827,478000,-428173
Lynn,Tsoflias,2013,1,20130330,55333,389000,-333667
Lynn,Tsoflias,2013,2,20130630,59440,399000,-339560
Lynn,Tsoflias,2013,3,20130929,58810,421000,-362190
Rachel,Valdez,2012,4,20121228,176332,728000,-551668
Rachel,Valdez,2013,1,20130330,191885,566000,-374115
Rachel,Valdez,2013,2,20130630,112314,366000,-253686
Rachel,Valdez,2013,3,20130929,161430,627000,-465570
Garrett,Vargas,2010,4,20101229,9109,244000,-234891
Garrett,Vargas,2011,1,20110331,35467,356000,-320533
Garrett,Vargas,2011,3,20110701,27719,266000,-238281
Garrett,Vargas,2011,4,20111229,6411,542000,-535589
Garrett,Vargas,2012,1,20120330,3027,329000,-325973
Garrett,Vargas,2012,2,20120630,2854,239000,-236146
Garrett,Vargas,2012,3,20120928,8092,418000,-409908
Garrett,Vargas,2012,4,20121228,16661,507000,-490339
Garrett,Vargas,2013,1,20130330,13416,453000,-439584
Garrett,Vargas,2013,2,20130630,17269,280000,-262731
Garrett,Vargas,2013,3,20130929,4823,390000,-385177
Ranjit,Varkey Chudukatil,2011,4,20111229,97500,593000,-495500
